Real,Imag
-10.7038,-4.76519
-11.1754,-3.37716
-11.4858,-1.94304
-11.6308,-0.481636
-11.6082,0.987896
-11.4181,2.44626
-11.0628,3.8743
-10.5469,5.25324
-9.87689,6.56493
-9.06156,7.79211
-8.11146,8.91862
-7.039,9.9296
-5.8582,10.8117
-4.58452,11.5534
-3.23467,12.1448
-1.82638,12.5781
-0.378159,12.8477
1.09093,12.9498
2.56154,12.8833
4.0143,12.649
5.43005,12.25
6.7901,11.6916
8.0765,10.9812
9.27226,10.1283
10.3616,9.144
11.33,8.04154
12.1648,6.83551
12.8548,5.54193
13.391,4.17797
13.7662,2.76177
13.9754,1.31217
14.0158,-0.151546
13.8869,-1.60989
13.5904,-3.04342
13.1301,-4.43302
12.5122,-5.76013
11.7448,-7.00704
10.8381,-8.15704
9.80414,-9.19472
8.65656,-10.1061
7.41064,-10.879
6.08291,-11.503
4.69102,-11.9694
3.25348,-12.272
1.78943,-12.4065
0.318344,-12.3709
-1.14015,-12.1654
-2.56661,-11.7926
-3.94197,-11.2571
-5.24785,-10.5658
-6.46676,-9.72775
-7.58235,-8.75372
-8.57964,-7.65648
-9.44517,-6.45038
-10.1672,-5.15123
-10.736,-3.77609
-11.1437,-2.34303
-11.3847,-0.870937
-11.4555,0.620803
-11.3548,2.11251
-11.0837,3.58449
-10.6456,5.01728
-10.0459,6.39194
-9.29235,7.69027
-8.39461,8.89505
-7.36433,9.9903
-6.21489,10.9615
-4.96128,11.7957
-3.61987,12.4817
-2.2082,13.0105
-0.744773,13.3749
0.751222,13.5701
2.26015,13.5932
3.76217,13.4439
5.23755,13.124
6.66685,12.6377
8.03127,11.9914
9.31283,11.1933
10.4946,10.2541
11.5611,9.18603
12.4981,8.00315
13.2933,6.72106
13.9363,5.35666
14.4184,3.92797
14.7334,2.45384
14.877,0.95378
14.8474,-0.552373
14.645,-2.04468
14.2724,-3.50336
13.7346,-4.90908
13.0387,-6.24319
12.1939,-7.48796
11.2115,-8.62686
10.1044,-9.64471
8.88744,-10.528
7.57669,-11.2648
6.18959,-11.8454
4.74459,-12.262
3.26093,-12.5088
1.75834,-12.5826
0.256858,-12.4823
-1.2235,-12.209
-2.66298,-11.7662
-4.04234,-11.1598
-5.34315,-10.3976
-6.54796,-9.48968
-7.64061,-8.44794
-8.60642,-7.28611
-9.43234,-6.01953
-10.1072,-4.66492
-10.6218,-3.24021
-10.9691,-1.76424
-11.1442,-0.256573
-11.1445,1.2628
-10.9697,2.77371
-10.6219,4.25608
-10.1055,5.69021
-9.42696,7.05699
-8.59506,8.33822
-7.62055,9.51678
-6.51612,10.5769
-5.29617,11.5044
-3.97663,12.2869
-2.57479,12.9137
-1.10903,13.3763
0.401406,13.6684
1.93666,13.786
3.47652,13.7272
5.00071,13.4927
6.48915,13.0852
7.92218,12.5099
9.28089,11.7743
10.5473,10.8879
11.7047,9.86214
12.7378,8.71047
13.6328,7.44793
14.3779,6.09106
14.9632,4.65766
15.3809,3.16655
15.6254,1.63734
15.6934,0.0901527
15.5839,-1.45463
15.2984,-2.97664
14.8405,-4.45581
14.2163,-5.87261
13.4339,-7.20833
12.5037,-8.44529
11.438,-9.56716
10.2507,-10.5591
8.95766,-11.4079
7.57591,-12.1023
6.12375,-12.6332
4.62044,-12.9934
3.0859,-13.1782
1.5405,-13.185
0.00475089,-13.0138
-1.50094,-12.6667
-2.95654,-12.1484
-4.34267,-11.4656
-5.64086,-10.6273
-6.8338,-9.64476
-7.90553,-8.53082
-8.84172,-7.30029
-9.6298,-5.96947
-10.2592,-4.55603
-10.7213,-3.07873
-11.0099,-1.5572
-11.1209,-0.0116676
-11.0527,1.5373
-10.806,3.06907
-10.3839,4.56323
-9.79173,5.99983
-9.03723,7.35968
-8.13021,8.62458
-7.08251,9.77758
-5.90785,10.8032
-4.62167,11.6876
-3.24088,12.4188
-1.78366,12.987
-0.269225,13.3842
1.28243,13.6051
2.8508,13.6463
4.41515,13.507
5.95477,13.1889
7.44924,12.6959
8.87876,12.0341
10.2243,11.2122
11.4681,10.2407
12.5934,9.13223
13.5854,7.90123
14.4307,6.56379
15.118,5.1374
15.6381,3.64074
15.9839,2.09346
16.1507,0.515873
16.1361,-1.07127
15.9402,-2.64709
15.5653,-4.19082
15.0162,-5.68212
14.3002,-7.10131
13.4263,-8.42966
12.4062,-9.64961
11.2531,-10.745
9.9821,-11.7014
8.61001,-12.5062
7.15482,-13.1485
5.63571,-13.62
4.07271,-13.9143
2.48644,-14.0276
0.897842,-13.9582
-0.672078,-13.707
-2.20256,-13.2774
-3.67334,-12.6749
-5.06494,-11.9076
-6.35891,-10.9855
-7.53806,-9.92082
-8.58675,-8.7277
-9.49101,-7.4219
-10.2388,-6.02073
-10.8201,-4.54278
-11.2272,-3.00766
-11.4546,-1.43576
-11.4992,0.152031
-11.3602,1.73459
-11.0394,3.29084
-10.541,4.80006
-9.87154,6.2421
-9.03972,7.59772
-8.05651,8.84877
-6.93489,9.9785
-5.68965,10.9717
-4.33725,11.8151
-2.89558,12.4972
-1.38374,13.0088
0.178237,13.3428
1.76962,13.4946
3.36929,13.4619
4.95597,13.2449
6.50856,12.8462
8.00639,12.2708
9.42946,11.5262
10.7588,10.6218
11.9766,9.56959
13.0666,8.38315
14.014,7.07803
14.8063,5.67132
15.4325,4.18149
15.8842,2.6281
16.1552,1.0316
16.2416,-0.58698
16.1419,-2.2063
15.8573,-3.805
15.3913,-5.36195
14.7497,-6.85656
13.9407,-8.26906
12.975,-9.58073
11.8649,-10.7742
10.6249,-11.8336
9.2713,-12.7448
7.82175,-13.4957
6.29526,-14.0764
4.71186,-14.4789
3.09235,-14.6979
1.45805,-14.7303
-0.169546,-14.5756
-1.76898,-14.2358
-3.31917,-13.7153
-4.79965,-13.0207
-6.19088,-12.1612
-7.47448,-11.1481
-8.63345,-9.99474
-9.65248,-8.71624
-10.5181,-7.32949
-11.2187,-5.8528
-11.7451,-4.30569
-12.0903,-2.7086
-12.2496,-1.08268
-12.2209,0.550527
-12.0046,2.16938
-11.6034,3.75238
-11.0226,5.27853
-10.27,6.72752
-9.35533,8.08008
-8.29081,9.3182
-7.09051,10.4253
-5.77033,11.3867
-4.34776,12.1894
-2.84169,12.8227
-1.27212,13.278
0.340094,13.5491
1.97351,13.6323
3.60638,13.5262
5.21696,13.2321
6.78376,12.7538
8.28585,12.0973
9.70317,11.2712
11.0167,10.2864
12.2089,9.15567
13.2637,7.89389
14.1668,6.51768
14.906,5.04515
15.4713,3.49574
15.8549,1.8899
16.0515,0.248876
16.058,-1.40562
15.8741,-3.05168
15.502,-4.66746
14.9462,-6.23153
14.2139,-7.72308
13.3144,-9.12229
12.2594,-10.4105
11.0625,-11.5705
9.73939,-12.5869
8.30732,-13.4459
6.78501,-14.136
5.19243,-14.648
3.55046,-14.9747
1.88067,-15.1117
0.205036,-15.057
-1.4544,-14.811
-3.07576,-14.3768
-4.63767,-13.7599
-6.11953,-12.9683
-7.50175,-12.0122
-8.76606,-10.9042
-9.89574,-9.65857
-10.8758,-8.29177
-11.6933,-6.82169
-12.3374,-5.26766
-12.7994,-3.6501
-13.0733,-1.99033
-13.1554,-0.310211
-13.0444,1.36808
-12.7419,3.02239
-12.2517,4.63085
-11.5803,6.1722
-10.7366,7.62602
-9.73164,8.97307
-8.57874,10.1955
-7.29314,11.277
-5.89185,12.2033
-4.39343,12.962
-2.81777,13.5431
-1.18575,13.9386
0.480948,14.1434
2.16017,14.1546
3.82959,13.9719
5.46697,13.5978
7.05051,13.037
8.55906,12.2969
9.97249,11.3873
11.2719,10.3201
12.4398,9.10935
13.4606,7.77116
14.3205,6.32317
15.0078,4.78457
15.5132,3.17576
15.8298,1.51807
15.9531,-0.166476
15.8811,-1.85549
15.6146,-3.5265
15.1568,-5.15725
14.5135,-6.726
13.6929,-8.21179
12.7058,-9.59477
11.5648,-10.8564
10.2849,-11.9797
8.88286,-12.9497
7.377,-13.7531
5.7871,-14.3791
4.13406,-14.8191
2.43963,-15.067
0.72614,-15.1191
-0.983813,-14.9746
-2.66765,-14.6349
-4.30312,-14.1043
-5.8686,-13.3895
-7.34334,-12.4997
-8.7078,-11.4464
-9.94387,-10.2431
-11.0351,-8.90568
-11.9671,-7.45147
-12.7272,-5.89952
-13.3054,-4.27015
-13.6939,-2.58473
-13.8874,-0.865399
-13.8833,0.865242
-13.6814,2.58442
-13.2843,4.2695
-12.6971,5.89827
-11.9274,7.44925
-10.9854,8.90195
-9.88335,10.2372
-8.63577,11.4373
-7.25908,12.4865
-5.77144,13.3707
-4.19247,14.0783
-2.54304,14.6
-0.844954,14.9287
0.879307,15.06
2.6069,14.9922
4.31493,14.7262
5.98072,14.2653
7.58214,13.6158
9.09791,12.7861
10.5078,11.7872
11.7931,10.6324
12.9367,9.33682
13.9231,7.91778
14.7392,6.39406
15.374,4.78589
15.8189,3.11464
16.0678,1.40253
16.1173,-0.327662
15.9665,-2.05288
15.6171,-3.75012
15.0736,-5.39673
14.3431,-6.9707
13.4349,-8.45097
12.3611,-9.81769
11.1356,-11.0525
9.77448,-12.1388
8.29574,-13.0618
6.71881,-13.8091
5.06449,-14.3704
3.35464,-14.738
1.61185,-14.9066
-0.140801,-14.8737
-1.8801,-14.6393
-3.58298,-14.2063
-5.22683,-13.58
-6.7898,-12.7684
-8.25109,-11.7819
-9.59122,-10.6332
-10.7923,-9.33718
-11.8382,-7.91082
-12.715,-6.37267
-13.4108,-4.74286
-13.9162,-3.04272
-14.2243,-1.29455
-14.3308,0.478684
-14.234,2.25368
-13.935,4.00709
-13.4374,5.7158
-12.7477,7.35731
-11.8747,8.90994
-10.8298,10.3532
-9.62662,11.668
-8.28082,12.837
-6.81005,13.8447
-5.23363,14.6777
-3.57226,15.325
-1.8478,15.7779
-0.0829747,16.0305
1.69896,16.0792
3.47447,15.9236
