Real,Imag
0.330634,-0.479288
0.336666,-0.463348
0.342838,-0.447536
0.349148,-0.431851
0.355593,-0.416295
0.362173,-0.400869
0.368884,-0.385573
0.375724,-0.370407
0.382693,-0.355373
0.389788,-0.340471
0.397008,-0.3257
0.404352,-0.311063
0.411818,-0.296558
0.419404,-0.282188
0.42711,-0.267951
0.434935,-0.25385
0.442878,-0.239884
0.450937,-0.226054
0.459112,-0.212361
0.467402,-0.198806
0.475807,-0.185389
0.484324,-0.172113
0.492955,-0.158978
0.501697,-0.145985
0.510551,-0.133136
0.519515,-0.120431
0.528588,-0.107874
0.53777,-0.0954645
0.547059,-0.0832054
0.556454,-0.071098
0.565954,-0.0591444
0.575558,-0.0473464
0.585265,-0.035706
0.595072,-0.0242252
0.604978,-0.0129061
0.614982,-0.00175076
0.62508,0.00923886
0.635272,0.0200607
0.645556,0.0307127
0.655927,0.0411931
0.666385,0.0514997
0.676926,0.0616309
0.687548,0.071585
0.698248,0.0813601
0.709023,0.0909549
0.71987,0.100368
0.730785,0.109598
0.741766,0.118643
0.752809,0.127503
0.763911,0.136178
0.775068,0.144665
0.786277,0.152964
0.797535,0.161076
0.808837,0.169
0.820182,0.176735
0.831565,0.184282
0.842982,0.191641
0.854432,0.198812
0.86591,0.205796
0.877413,0.212593
0.888939,0.219204
0.900484,0.22563
0.912045,0.231871
0.923621,0.237929
0.935207,0.243804
0.946802,0.249498
0.958403,0.255011
0.970007,0.260345
0.981614,0.265502
0.99322,0.270481
1.00482,0.275285
1.01642,0.279914
1.02802,0.28437
1.0396,0.288653
1.05118,0.292764
1.06275,0.296706
1.0743,0.300477
1.08584,0.30408
1.09737,0.307514
1.10888,0.310782
1.12038,0.313882
1.13185,0.316816
1.14331,0.319584
1.15474,0.322186
1.16615,0.324623
1.17754,0.326894
1.1889,0.329
1.20024,0.330941
1.21155,0.332717
1.22283,0.334328
1.23407,0.335774
1.24529,0.337054
1.25647,0.338169
1.26761,0.339119
1.27871,0.339902
1.28977,0.34052
1.30079,0.340973
1.31177,0.34126
1.32269,0.341381
1.33356,0.341337
1.34438,0.341128
1.35515,0.340754
1.36585,0.340216
1.3765,0.339514
1.38707,0.338648
1.39759,0.337621
1.40803,0.336432
1.4184,0.335083
1.42869,0.333575
1.4389,0.331908
1.44904,0.330086
1.45908,0.328109
1.46904,0.325978
1.47891,0.323696
1.48869,0.321265
1.49838,0.318687
1.50796,0.315964
1.51745,0.313097
1.52683,0.310091
1.53611,0.306946
1.54528,0.303665
1.55435,0.300251
1.5633,0.296707
1.57215,0.293035
1.58088,0.289237
1.58949,0.285317
1.59799,0.281276
1.60638,0.277118
1.61464,0.272845
1.62279,0.268459
1.63082,0.263963
1.63873,0.259359
1.64652,0.25465
1.65418,0.249837
1.66173,0.244924
1.66915,0.239912
1.67645,0.234803
1.68363,0.229598
1.69069,0.224301
1.69762,0.218912
1.70443,0.213433
1.71111,0.207866
1.71768,0.202213
1.72411,0.196473
1.73042,0.19065
1.73661,0.184744
1.74267,0.178757
1.74861,0.172689
1.75442,0.166541
1.7601,0.160316
1.76565,0.154014
1.77108,0.147635
1.77637,0.141182
1.78153,0.134656
1.78656,0.128057
1.79146,0.121386
1.79623,0.114646
1.80086,0.107837
1.80535,0.10096
1.80971,0.0940181
1.81392,0.0870116
1.818,0.0799425
1.82193,0.0728126
1.82572,0.0656236
1.82936,0.0583774
1.83286,0.0510763
1.83621,0.0437223
1.83941,0.0363176
1.84247,0.0288647
1.84537,0.021366
1.84811,0.0138241
1.85071,0.00624155
1.85315,-0.00137886
1.85543,-0.00903433
1.85756,-0.016722
1.85953,-0.0244389
1.86134,-0.0321822
1.863,-0.0399487
1.8645,-0.0477355
1.86584,-0.0555394
1.86702,-0.0633576
1.86804,-0.0711868
1.8689,-0.0790241
1.86961,-0.0868666
1.87016,-0.0947111
1.87055,-0.102555
1.87079,-0.110395
1.87087,-0.118229
1.8708,-0.126054
1.87057,-0.133867
1.87019,-0.141666
1.86966,-0.149449
1.86898,-0.157213
1.86815,-0.164955
1.86718,-0.172675
1.86605,-0.180369
1.86479,-0.188037
1.86337,-0.195675
1.86182,-0.203284
1.86013,-0.21086
1.85829,-0.218402
1.85632,-0.22591
1.85421,-0.233382
1.85196,-0.240816
1.84958,-0.248211
1.84706,-0.255567
1.84441,-0.262881
1.84162,-0.270154
1.83871,-0.277384
1.83566,-0.284569
1.83248,-0.29171
1.82917,-0.298804
1.82573,-0.305851
1.82216,-0.312849
1.81846,-0.319798
1.81464,-0.326697
1.81068,-0.333543
1.8066,-0.340337
1.80239,-0.347075
1.79805,-0.353758
1.79358,-0.360382
1.78898,-0.366948
1.78426,-0.373453
1.77941,-0.379894
1.77443,-0.386272
1.76932,-0.392582
1.76409,-0.398824
1.75873,-0.404996
1.75324,-0.411094
1.74763,-0.417118
1.7419,-0.423064
1.73604,-0.428931
1.73005,-0.434715
1.72395,-0.440415
1.71772,-0.446028
1.71137,-0.451552
1.7049,-0.456985
1.69832,-0.462323
1.69162,-0.467565
1.6848,-0.472709
1.67787,-0.477751
1.67083,-0.48269
1.66368,-0.487525
1.65643,-0.492251
1.64907,-0.496869
1.6416,-0.501376
1.63403,-0.505769
1.62637,-0.510048
1.61861,-0.514211
1.61076,-0.518257
1.60281,-0.522183
1.59478,-0.52599
1.58666,-0.529675
1.57845,-0.533239
1.57017,-0.53668
1.56181,-0.539997
1.55336,-0.54319
1.54485,-0.546258
1.53626,-0.549201
1.52761,-0.552019
1.51888,-0.554712
1.51009,-0.557278
1.50124,-0.559719
1.49232,-0.562034
1.48335,-0.564222
1.47431,-0.566285
1.46522,-0.568222
1.45608,-0.570034
1.44688,-0.571719
1.43763,-0.573279
1.42833,-0.574713
1.41897,-0.576021
1.40957,-0.577203
1.40013,-0.578259
1.39063,-0.57919
1.38109,-0.579994
1.37151,-0.580671
1.36188,-0.581221
1.35221,-0.581644
1.3425,-0.581939
1.33275,-0.582105
1.32296,-0.582142
1.31313,-0.582049
1.30326,-0.581825
1.29335,-0.58147
1.28341,-0.580982
1.27343,-0.58036
1.26342,-0.579604
1.25338,-0.578712
1.24331,-0.577684
1.23321,-0.576517
1.22308,-0.575211
1.21293,-0.573765
1.20275,-0.572178
1.19255,-0.570449
1.18233,-0.568576
1.17209,-0.566559
1.16183,-0.564396
1.15157,-0.562087
1.14129,-0.559631
1.131,-0.557028
1.12071,-0.554276
1.11041,-0.551375
1.10011,-0.548325
1.08982,-0.545125
1.07952,-0.541775
1.06924,-0.538276
1.05897,-0.534627
1.0487,-0.530828
1.03846,-0.52688
1.02823,-0.522783
1.01802,-0.518538
1.00784,-0.514146
0.99768,-0.509607
0.98755,-0.504921
0.977451,-0.500091
0.967385,-0.495118
0.957354,-0.490001
0.947361,-0.484744
0.937408,-0.479346
0.927495,-0.473809
0.917626,-0.468136
0.907802,-0.462326
0.898025,-0.456381
0.888295,-0.450304
0.878615,-0.444095
0.868985,-0.437755
0.859408,-0.431287
0.849883,-0.424691
0.840412,-0.417968
0.830995,-0.411121
0.821634,-0.404149
0.81233,-0.397055
0.803083,-0.389839
0.793893,-0.382501
0.784762,-0.375044
0.77569,-0.367468
0.766677,-0.359772
0.757725,-0.351959
0.748833,-0.344028
0.740003,-0.33598
0.731235,-0.327816
0.722531,-0.319534
0.71389,-0.311137
0.705314,-0.302623
0.696803,-0.293994
0.688359,-0.285248
0.679982,-0.276387
0.671675,-0.26741
0.663437,-0.258318
0.655271,-0.249109
0.647178,-0.239785
0.63916,-0.230346
0.631217,-0.220791
0.623352,-0.211121
0.615567,-0.201336
0.607864,-0.191436
0.600243,-0.181422
0.592709,-0.171295
0.585261,-0.161055
0.577903,-0.150702
0.570637,-0.140237
0.563464,-0.129662
0.556388,-0.118978
0.549409,-0.108185
0.54253,-0.0972849
0.535754,-0.0862793
0.529081,-0.0751696
0.522515,-0.0639574
0.516057,-0.0526445
0.509709,-0.0412329
0.503473,-0.0297244
